customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0186-ABCDE,Female,1,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,36.57,151.72,Yes
2716-ABCDE,Male,0,No,No,40,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),69.31,2724.77,Yes
3826-ABCDE,Male,0,Yes,No,28,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),56.91,1532.44,No
1808-ABCDE,Male,1,No,Yes,19,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,No,Mailed check,73.33,1349.93,Yes
0133-ABCDE,Male,0,Yes,No,35,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.68,1663.07,No
1264-ABCDE,Male,0,No,No,53,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Credit card (automatic),32.11,1844.52,No
3733-ABCDE,Male,0,No,No,8,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,68.61,565.83,Yes
1673-ABCDE,Female,1,Yes,No,1,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,57.69,58.19,Yes
0812-ABCDE,Female,0,Yes,Yes,0,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),40.66,40.66,Yes
2527-ABCDE,Male,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,72.86,72.86,Yes
2893-ABCDE,Female,0,Yes,No,57,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Mailed check,61.89,3425.69,No
4130-ABCDE,Male,1,Yes,Yes,0,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),71.3,71.3,Yes
2623-ABCDE,Male,0,No,Yes,26,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),34.86,819.7,Yes
3802-ABCDE,Female,0,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),27.57,388.35,No
4358-ABCDE,Female,0,Yes,No,9,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,51.1,497.48,Yes
6180-ABCDE,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.82,323.15,Yes
5276-ABCDE,Male,0,No,No,15,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),52.7,741.11,Yes
4641-ABCDE,Female,0,Yes,No,18,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,56.23,1008.82,Yes
0834-ABCDE,Male,0,Yes,Yes,23,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Credit card (automatic),79.57,1882.88,No
5195-ABCDE,Male,1,Yes,Yes,1,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.82,71.82,Yes
3329-ABCDE,Male,1,Yes,No,5,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),42.09,198.98,No
0102-ABCDE,Female,1,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),68.2,274.6,Yes
6299-ABCDE,Female,0,No,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.64,824.38,No
1091-ABCDE,Female,0,Yes,No,5,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,74.21,356.98,Yes
1745-ABCDE,Male,0,No,No,29,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,50.37,1418.79,Yes
6487-ABCDE,Female,0,Yes,Yes,33,No,No phone service,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,43.64,1362.96,No
6371-ABCDE,Female,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),26.03,1815.33,Yes
1883-ABCDE,Female,0,Yes,No,0,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,58.71,58.71,Yes
3470-ABCDE,Male,0,Yes,No,7,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,67.31,459.22,No
2311-ABCDE,Female,0,Yes,No,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),36.58,1340.23,No
6186-ABCDE,Female,0,No,Yes,44,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,59.47,2464.46,No
2727-ABCDE,Male,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),71.65,145.5,Yes
0697-ABCDE,Male,0,No,No,35,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Credit card (automatic),74.66,2536.79,No
1484-ABCDE,Male,0,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,61.12,61.74,No
1159-ABCDE,Female,0,Yes,No,21,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Electronic check,66.56,1389.44,No
3033-ABCDE,Female,0,No,No,17,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,47.9,823.34,Yes
7038-ABCDE,Male,0,No,No,11,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,53.07,594.98,Yes
4646-ABCDE,Female,0,No,No,3,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,43.81,134.73,Yes
6113-ABCDE,Female,0,No,No,36,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),51.92,1824.34,Yes
